epoch,accuracy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.9024999737739563,39.0,39.0,0.5734776258468628,0.9024999737739563,0.9024999737739563,361.0,361.0,0.8333333134651184,30.0,30.0,0.5621840357780457,0.8333333134651184,0.8333333134651184,150.0,150.0
1,0.9800000190734863,8.0,8.0,0.44868701696395874,0.9800000190734863,0.9800000190734863,392.0,392.0,0.855555534362793,26.0,26.0,0.5047697424888611,0.855555534362793,0.855555534362793,154.0,154.0
2,0.9850000143051147,6.0,6.0,0.39159584045410156,0.9850000143051147,0.9850000143051147,394.0,394.0,0.8722222447395325,23.0,23.0,0.46867111325263977,0.8722222447395325,0.8722222447395325,157.0,157.0
3,0.9900000095367432,4.0,4.0,0.35044625401496887,0.9900000095367432,0.9900000095367432,396.0,396.0,0.894444465637207,19.0,19.0,0.43736258149147034,0.894444465637207,0.894444465637207,161.0,161.0
4,0.9900000095367432,4.0,4.0,0.3191462457180023,0.9900000095367432,0.9900000095367432,396.0,396.0,0.8999999761581421,18.0,18.0,0.4092109203338623,0.8999999761581421,0.8999999761581421,162.0,162.0
5,0.9975000023841858,1.0,1.0,0.2890053689479828,0.9975000023841858,0.9975000023841858,399.0,399.0,0.9111111164093018,16.0,16.0,0.3870852589607239,0.9111111164093018,0.9111111164093018,164.0,164.0
6,1.0,0.0,0.0,0.2654654085636139,1.0,1.0,400.0,400.0,0.9111111164093018,16.0,16.0,0.38061824440956116,0.9111111164093018,0.9111111164093018,164.0,164.0
7,1.0,0.0,0.0,0.24586723744869232,1.0,1.0,400.0,400.0,0.9055555462837219,17.0,17.0,0.3600025177001953,0.9055555462837219,0.9055555462837219,163.0,163.0
8,1.0,0.0,0.0,0.22731494903564453,1.0,1.0,400.0,400.0,0.9055555462837219,17.0,17.0,0.3560982048511505,0.9055555462837219,0.9055555462837219,163.0,163.0
9,1.0,0.0,0.0,0.21125160157680511,1.0,1.0,400.0,400.0,0.9055555462837219,17.0,17.0,0.3366324007511139,0.9055555462837219,0.9055555462837219,163.0,163.0
10,1.0,0.0,0.0,0.19712898135185242,1.0,1.0,400.0,400.0,0.9055555462837219,17.0,17.0,0.3236706852912903,0.9055555462837219,0.9055555462837219,163.0,163.0
11,1.0,0.0,0.0,0.18398527801036835,1.0,1.0,400.0,400.0,0.9055555462837219,17.0,17.0,0.31363746523857117,0.9055555462837219,0.9055555462837219,163.0,163.0
