epoch,accuracy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.9150000214576721,34.0,34.0,0.5370838642120361,0.9150000214576721,0.9150000214576721,366.0,366.0,0.7555555701255798,44.0,44.0,0.5786805152893066,0.7555555701255798,0.7555555701255798,136.0,136.0
1,0.9700000286102295,12.0,12.0,0.44040560722351074,0.9700000286102295,0.9700000286102295,388.0,388.0,0.7444444298744202,46.0,46.0,0.5649203062057495,0.7444444298744202,0.7444444298744202,134.0,134.0
2,0.9825000166893005,7.0,7.0,0.3974643647670746,0.9825000166893005,0.9825000166893005,393.0,393.0,0.800000011920929,36.0,36.0,0.5222808122634888,0.800000011920929,0.800000011920929,144.0,144.0
3,0.987500011920929,5.0,5.0,0.36339566111564636,0.987500011920929,0.987500011920929,395.0,395.0,0.8277778029441833,31.0,31.0,0.49255692958831787,0.8277778029441833,0.8277778029441833,149.0,149.0
4,0.9925000071525574,3.0,3.0,0.3324117660522461,0.9925000071525574,0.9925000071525574,397.0,397.0,0.75,45.0,45.0,0.5494654774665833,0.75,0.75,135.0,135.0
5,0.9900000095367432,4.0,4.0,0.31085124611854553,0.9900000095367432,0.9900000095367432,396.0,396.0,0.8222222328186035,32.0,32.0,0.46610227227211,0.8222222328186035,0.8222222328186035,148.0,148.0
6,0.9925000071525574,3.0,3.0,0.2870039641857147,0.9925000071525574,0.9925000071525574,397.0,397.0,0.8111110925674438,34.0,34.0,0.4599991738796234,0.8111110925674438,0.8111110925674438,146.0,146.0
7,0.9925000071525574,3.0,3.0,0.2682051956653595,0.9925000071525574,0.9925000071525574,397.0,397.0,0.7666666507720947,42.0,42.0,0.513067364692688,0.7666666507720947,0.7666666507720947,138.0,138.0
8,0.9925000071525574,3.0,3.0,0.25128114223480225,0.9925000071525574,0.9925000071525574,397.0,397.0,0.7944444417953491,37.0,37.0,0.46298983693122864,0.7944444417953491,0.7944444417953491,143.0,143.0
9,0.9925000071525574,3.0,3.0,0.23589958250522614,0.9925000071525574,0.9925000071525574,397.0,397.0,0.8166666626930237,33.0,33.0,0.43743133544921875,0.8166666626930237,0.8166666626930237,147.0,147.0
10,0.9925000071525574,3.0,3.0,0.22211505472660065,0.9925000071525574,0.9925000071525574,397.0,397.0,0.7944444417953491,37.0,37.0,0.4543256163597107,0.7944444417953491,0.7944444417953491,143.0,143.0
11,0.9925000071525574,3.0,3.0,0.20956899225711823,0.9925000071525574,0.9925000071525574,397.0,397.0,0.800000011920929,36.0,36.0,0.4497389495372772,0.800000011920929,0.800000011920929,144.0,144.0
12,0.9925000071525574,3.0,3.0,0.19819346070289612,0.9925000071525574,0.9925000071525574,397.0,397.0,0.7611111402511597,43.0,43.0,0.4697718620300293,0.7611111402511597,0.7611111402511597,137.0,137.0
13,0.9925000071525574,3.0,3.0,0.187710240483284,0.9925000071525574,0.9925000071525574,397.0,397.0,0.8055555820465088,35.0,35.0,0.43416136503219604,0.8055555820465088,0.8055555820465088,145.0,145.0
14,0.9925000071525574,3.0,3.0,0.17814382910728455,0.9925000071525574,0.9925000071525574,397.0,397.0,0.8222222328186035,32.0,32.0,0.42177751660346985,0.8222222328186035,0.8222222328186035,148.0,148.0
15,0.9925000071525574,3.0,3.0,0.1691305786371231,0.9925000071525574,0.9925000071525574,397.0,397.0,0.8333333134651184,30.0,30.0,0.40045487880706787,0.8333333134651184,0.8333333134651184,150.0,150.0
16,0.9925000071525574,3.0,3.0,0.16113075613975525,0.9925000071525574,0.9925000071525574,397.0,397.0,0.800000011920929,36.0,36.0,0.45200058817863464,0.800000011920929,0.800000011920929,144.0,144.0
17,0.9925000071525574,3.0,3.0,0.15410298109054565,0.9925000071525574,0.9925000071525574,397.0,397.0,0.8111110925674438,34.0,34.0,0.44120609760284424,0.8111110925674438,0.8111110925674438,146.0,146.0
18,0.9975000023841858,1.0,1.0,0.13733862340450287,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8388888835906982,29.0,29.0,0.39949795603752136,0.8388888835906982,0.8388888835906982,151.0,151.0
19,0.9975000023841858,1.0,1.0,0.1304321438074112,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8277778029441833,31.0,31.0,0.4095726013183594,0.8277778029441833,0.8277778029441833,149.0,149.0
20,0.9975000023841858,1.0,1.0,0.12408829480409622,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8277778029441833,31.0,31.0,0.40956851840019226,0.8277778029441833,0.8277778029441833,149.0,149.0
21,0.9975000023841858,1.0,1.0,0.11824486404657364,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8277778029441833,31.0,31.0,0.41179630160331726,0.8277778029441833,0.8277778029441833,149.0,149.0
22,0.9975000023841858,1.0,1.0,0.11283939331769943,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8277778029441833,31.0,31.0,0.41419216990470886,0.8277778029441833,0.8277778029441833,149.0,149.0
23,0.9975000023841858,1.0,1.0,0.10776396840810776,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8277778029441833,31.0,31.0,0.4151046872138977,0.8277778029441833,0.8277778029441833,149.0,149.0
24,0.9975000023841858,1.0,1.0,0.10306079685688019,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8222222328186035,32.0,32.0,0.422040730714798,0.8222222328186035,0.8222222328186035,148.0,148.0
25,0.9975000023841858,1.0,1.0,0.09867779910564423,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8166666626930237,33.0,33.0,0.4232010841369629,0.8166666626930237,0.8166666626930237,147.0,147.0
26,0.9975000023841858,1.0,1.0,0.09459530562162399,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8277778029441833,31.0,31.0,0.42471152544021606,0.8277778029441833,0.8277778029441833,149.0,149.0
27,0.9975000023841858,1.0,1.0,0.09072887152433395,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8222222328186035,32.0,32.0,0.4308129549026489,0.8222222328186035,0.8222222328186035,148.0,148.0
28,0.9975000023841858,1.0,1.0,0.08714167773723602,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8277778029441833,31.0,31.0,0.4259282946586609,0.8277778029441833,0.8277778029441833,149.0,149.0
29,0.9975000023841858,1.0,1.0,0.08378712832927704,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8277778029441833,31.0,31.0,0.4289056062698364,0.8277778029441833,0.8277778029441833,149.0,149.0
30,0.9975000023841858,1.0,1.0,0.080553337931633,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8277778029441833,31.0,31.0,0.41842663288116455,0.8277778029441833,0.8277778029441833,149.0,149.0
31,0.9975000023841858,1.0,1.0,0.07756844162940979,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8222222328186035,32.0,32.0,0.4178712069988251,0.8222222328186035,0.8222222328186035,148.0,148.0
