epoch,accuracy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.6150000095367432,154.0,154.0,0.6819847822189331,0.6150000095367432,0.6150000095367432,246.0,246.0,0.6722221970558167,59.0,59.0,0.6905714869499207,0.6722221970558167,0.6722221970558167,121.0,121.0
1,0.8924999833106995,43.0,43.0,0.597028911113739,0.8924999833106995,0.8924999833106995,357.0,357.0,0.6333333253860474,66.0,66.0,0.6802459359169006,0.6333333253860474,0.6333333253860474,114.0,114.0
2,0.8999999761581421,40.0,40.0,0.5292369723320007,0.8999999761581421,0.8999999761581421,360.0,360.0,0.5388888716697693,83.0,83.0,0.6873372197151184,0.5388888716697693,0.5388888716697693,97.0,97.0
3,0.9049999713897705,38.0,38.0,0.4816400110721588,0.9049999713897705,0.9049999713897705,362.0,362.0,0.5388888716697693,83.0,83.0,0.6927914619445801,0.5388888716697693,0.5388888716697693,97.0,97.0
4,0.9024999737739563,39.0,39.0,0.4500630497932434,0.9024999737739563,0.9024999737739563,361.0,361.0,0.6111111044883728,70.0,70.0,0.6760913729667664,0.6111111044883728,0.6111111044883728,110.0,110.0
5,0.9024999737739563,39.0,39.0,0.42449110746383667,0.9024999737739563,0.9024999737739563,361.0,361.0,0.6611111164093018,61.0,61.0,0.6604195237159729,0.6611111164093018,0.6611111164093018,119.0,119.0
6,0.9024999737739563,39.0,39.0,0.40634259581565857,0.9024999737739563,0.9024999737739563,361.0,361.0,0.5388888716697693,83.0,83.0,0.7093656659126282,0.5388888716697693,0.5388888716697693,97.0,97.0
7,0.9049999713897705,38.0,38.0,0.38504958152770996,0.9049999713897705,0.9049999713897705,362.0,362.0,0.6222222447395325,68.0,68.0,0.6816463470458984,0.6222222447395325,0.6222222447395325,112.0,112.0
8,0.9150000214576721,34.0,34.0,0.3717193305492401,0.9150000214576721,0.9150000214576721,366.0,366.0,0.5388888716697693,83.0,83.0,0.7212584018707275,0.5388888716697693,0.5388888716697693,97.0,97.0
9,0.9100000262260437,36.0,36.0,0.3585279881954193,0.9100000262260437,0.9100000262260437,364.0,364.0,0.644444465637207,64.0,64.0,0.6697516441345215,0.644444465637207,0.644444465637207,116.0,116.0
10,0.9150000214576721,34.0,34.0,0.34626084566116333,0.9150000214576721,0.9150000214576721,366.0,366.0,0.6722221970558167,59.0,59.0,0.6640058755874634,0.6722221970558167,0.6722221970558167,121.0,121.0
11,0.9100000262260437,36.0,36.0,0.33772724866867065,0.9100000262260437,0.9100000262260437,364.0,364.0,0.5333333611488342,84.0,84.0,0.7680106163024902,0.5333333611488342,0.5333333611488342,96.0,96.0
12,0.9225000143051147,31.0,31.0,0.32366448640823364,0.9225000143051147,0.9225000143051147,369.0,369.0,0.5111111402511597,88.0,88.0,0.798299252986908,0.5111111402511597,0.5111111402511597,92.0,92.0
13,0.9075000286102295,37.0,37.0,0.3183547854423523,0.9075000286102295,0.9075000286102295,363.0,363.0,0.5666666626930237,78.0,78.0,0.7369111776351929,0.5666666626930237,0.5666666626930237,102.0,102.0
14,0.925000011920929,30.0,30.0,0.30477017164230347,0.925000011920929,0.925000011920929,370.0,370.0,0.5611110925674438,79.0,79.0,0.7473519444465637,0.5611110925674438,0.5611110925674438,101.0,101.0
15,0.9200000166893005,32.0,32.0,0.30021318793296814,0.9200000166893005,0.9200000166893005,368.0,368.0,0.6611111164093018,61.0,61.0,0.6805775165557861,0.6611111164093018,0.6611111164093018,119.0,119.0
16,0.9125000238418579,35.0,35.0,0.29444438219070435,0.9125000238418579,0.9125000238418579,365.0,365.0,0.5611110925674438,79.0,79.0,0.7620416283607483,0.5611110925674438,0.5611110925674438,101.0,101.0
17,0.9150000214576721,34.0,34.0,0.28605231642723083,0.9150000214576721,0.9150000214576721,366.0,366.0,0.5611110925674438,79.0,79.0,0.7715622782707214,0.5611110925674438,0.5611110925674438,101.0,101.0
18,0.9200000166893005,32.0,32.0,0.27722951769828796,0.9200000166893005,0.9200000166893005,368.0,368.0,0.644444465637207,64.0,64.0,0.697299599647522,0.644444465637207,0.644444465637207,116.0,116.0
19,0.9225000143051147,31.0,31.0,0.27512478828430176,0.9225000143051147,0.9225000143051147,369.0,369.0,0.550000011920929,81.0,81.0,0.8074668645858765,0.550000011920929,0.550000011920929,99.0,99.0
20,0.9225000143051147,31.0,31.0,0.2718189060688019,0.9225000143051147,0.9225000143051147,369.0,369.0,0.5444444417953491,82.0,82.0,0.8173746466636658,0.5444444417953491,0.5444444417953491,98.0,98.0
21,0.9200000166893005,32.0,32.0,0.26244866847991943,0.9200000166893005,0.9200000166893005,368.0,368.0,0.6388888955116272,65.0,65.0,0.7210619449615479,0.6388888955116272,0.6388888955116272,115.0,115.0
22,0.9350000023841858,26.0,26.0,0.25351622700691223,0.9350000023841858,0.9350000023841858,374.0,374.0,0.5,90.0,90.0,0.9016679525375366,0.5,0.5,90.0,90.0
23,0.9350000023841858,26.0,26.0,0.24722625315189362,0.9350000023841858,0.9350000023841858,374.0,374.0,0.49444442987442017,91.0,91.0,0.9137246012687683,0.49444442987442017,0.49444442987442017,89.0,89.0
24,0.9275000095367432,29.0,29.0,0.24856120347976685,0.9275000095367432,0.9275000095367432,371.0,371.0,0.6166666746139526,69.0,69.0,0.7569599747657776,0.6166666746139526,0.6166666746139526,111.0,111.0
25,0.9350000023841858,26.0,26.0,0.24282675981521606,0.9350000023841858,0.9350000023841858,374.0,374.0,0.6888889074325562,56.0,56.0,0.6929491758346558,0.6888889074325562,0.6888889074325562,124.0,124.0
26,0.9350000023841858,26.0,26.0,0.24017634987831116,0.9350000023841858,0.9350000023841858,374.0,374.0,0.605555534362793,71.0,71.0,0.7768614888191223,0.605555534362793,0.605555534362793,109.0,109.0
27,0.9325000047683716,27.0,27.0,0.2317056804895401,0.9325000047683716,0.9325000047683716,373.0,373.0,0.6277777552604675,67.0,67.0,0.7643899917602539,0.6277777552604675,0.6277777552604675,113.0,113.0
28,0.9449999928474426,22.0,22.0,0.22554939985275269,0.9449999928474426,0.9449999928474426,378.0,378.0,0.5611110925674438,79.0,79.0,0.8660033345222473,0.5611110925674438,0.5611110925674438,101.0,101.0
29,0.9474999904632568,21.0,21.0,0.22793418169021606,0.9474999904632568,0.9474999904632568,379.0,379.0,0.5888888835906982,74.0,74.0,0.8130848407745361,0.5888888835906982,0.5888888835906982,106.0,106.0
30,0.9375,25.0,25.0,0.22267675399780273,0.9375,0.9375,375.0,375.0,0.5944444537162781,73.0,73.0,0.8020930886268616,0.5944444537162781,0.5944444537162781,107.0,107.0
31,0.9300000071525574,28.0,28.0,0.22295324504375458,0.9300000071525574,0.9300000071525574,372.0,372.0,0.6611111164093018,61.0,61.0,0.7355693578720093,0.6611111164093018,0.6611111164093018,119.0,119.0
