epoch,accuracy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.6424999833106995,143.0,143.0,0.6760103702545166,0.6424999833106995,0.6424999833106995,257.0,257.0,0.5388888716697693,83.0,83.0,0.6732205152511597,0.5388888716697693,0.5388888716697693,97.0,97.0
1,0.875,50.0,50.0,0.6074415445327759,0.875,0.875,350.0,350.0,0.7111111283302307,52.0,52.0,0.6328281760215759,0.7111111283302307,0.7111111283302307,128.0,128.0
2,0.9300000071525574,28.0,28.0,0.5182998180389404,0.9300000071525574,0.9300000071525574,372.0,372.0,0.7055555582046509,53.0,53.0,0.6022530198097229,0.7055555582046509,0.7055555582046509,127.0,127.0
3,0.9375,25.0,25.0,0.4510993957519531,0.9375,0.9375,375.0,375.0,0.7222222089767456,50.0,50.0,0.5803274512290955,0.7222222089767456,0.7222222089767456,130.0,130.0
4,0.9399999976158142,24.0,24.0,0.40184617042541504,0.9399999976158142,0.9399999976158142,376.0,376.0,0.7055555582046509,53.0,53.0,0.5789381265640259,0.7055555582046509,0.7055555582046509,127.0,127.0
5,0.9524999856948853,19.0,19.0,0.3627154231071472,0.9524999856948853,0.9524999856948853,381.0,381.0,0.699999988079071,54.0,54.0,0.569384753704071,0.699999988079071,0.699999988079071,126.0,126.0
6,0.9524999856948853,19.0,19.0,0.334001362323761,0.9524999856948853,0.9524999856948853,381.0,381.0,0.7166666388511658,51.0,51.0,0.5551573634147644,0.7166666388511658,0.7166666388511658,129.0,129.0
7,0.9649999737739563,14.0,14.0,0.30645930767059326,0.9649999737739563,0.9649999737739563,386.0,386.0,0.7444444298744202,46.0,46.0,0.5275194048881531,0.7444444298744202,0.7444444298744202,134.0,134.0
8,0.9700000286102295,12.0,12.0,0.2842869758605957,0.9700000286102295,0.9700000286102295,388.0,388.0,0.7444444298744202,46.0,46.0,0.517397403717041,0.7444444298744202,0.7444444298744202,134.0,134.0
9,0.9725000262260437,11.0,11.0,0.26577723026275635,0.9725000262260437,0.9725000262260437,389.0,389.0,0.7555555701255798,44.0,44.0,0.49970757961273193,0.7555555701255798,0.7555555701255798,136.0,136.0
10,0.9700000286102295,12.0,12.0,0.2496538907289505,0.9700000286102295,0.9700000286102295,388.0,388.0,0.7666666507720947,42.0,42.0,0.49805450439453125,0.7666666507720947,0.7666666507720947,138.0,138.0
11,0.9750000238418579,10.0,10.0,0.2343919724225998,0.9750000238418579,0.9750000238418579,390.0,390.0,0.800000011920929,36.0,36.0,0.470537394285202,0.800000011920929,0.800000011920929,144.0,144.0
12,0.9750000238418579,10.0,10.0,0.2222824990749359,0.9750000238418579,0.9750000238418579,390.0,390.0,0.7777777910232544,40.0,40.0,0.4736993908882141,0.7777777910232544,0.7777777910232544,140.0,140.0
13,0.9800000190734863,8.0,8.0,0.2098202258348465,0.9800000190734863,0.9800000190734863,392.0,392.0,0.7833333611488342,39.0,39.0,0.46832624077796936,0.7833333611488342,0.7833333611488342,141.0,141.0
14,0.9800000190734863,8.0,8.0,0.19977374374866486,0.9800000190734863,0.9800000190734863,392.0,392.0,0.7722222208976746,41.0,41.0,0.47181931138038635,0.7722222208976746,0.7722222208976746,139.0,139.0
15,0.9800000190734863,8.0,8.0,0.18946973979473114,0.9800000190734863,0.9800000190734863,392.0,392.0,0.8388888835906982,29.0,29.0,0.43185120820999146,0.8388888835906982,0.8388888835906982,151.0,151.0
16,0.9800000190734863,8.0,8.0,0.18106050789356232,0.9800000190734863,0.9800000190734863,392.0,392.0,0.8388888835906982,29.0,29.0,0.4240259826183319,0.8388888835906982,0.8388888835906982,151.0,151.0
17,0.9800000190734863,8.0,8.0,0.17203962802886963,0.9800000190734863,0.9800000190734863,392.0,392.0,0.8388888835906982,29.0,29.0,0.416054368019104,0.8388888835906982,0.8388888835906982,151.0,151.0
18,0.9800000190734863,8.0,8.0,0.16592292487621307,0.9800000190734863,0.9800000190734863,392.0,392.0,0.8222222328186035,32.0,32.0,0.4241545498371124,0.8222222328186035,0.8222222328186035,148.0,148.0
19,0.9825000166893005,7.0,7.0,0.15830984711647034,0.9825000166893005,0.9825000166893005,393.0,393.0,0.8111110925674438,34.0,34.0,0.42730772495269775,0.8111110925674438,0.8111110925674438,146.0,146.0
