epoch,accuracy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.8575000166893005,57.0,57.0,0.5700073838233948,0.8575000166893005,0.8575000166893005,343.0,343.0,0.9111111164093018,16.0,16.0,0.5263262987136841,0.9111111164093018,0.9111111164093018,164.0,164.0
1,0.9424999952316284,23.0,23.0,0.4889446198940277,0.9424999952316284,0.9424999952316284,377.0,377.0,0.9444444179534912,10.0,10.0,0.46836057305336,0.9444444179534912,0.9444444179534912,170.0,170.0
2,0.9649999737739563,14.0,14.0,0.445109099149704,0.9649999737739563,0.9649999737739563,386.0,386.0,0.9277777671813965,13.0,13.0,0.4526617228984833,0.9277777671813965,0.9277777671813965,167.0,167.0
3,0.9674999713897705,13.0,13.0,0.409962922334671,0.9674999713897705,0.9674999713897705,387.0,387.0,0.8611111044883728,25.0,25.0,0.4719289541244507,0.8611111044883728,0.8611111044883728,155.0,155.0
4,0.9800000190734863,8.0,8.0,0.37582701444625854,0.9800000190734863,0.9800000190734863,392.0,392.0,0.8611111044883728,25.0,25.0,0.455136775970459,0.8611111044883728,0.8611111044883728,155.0,155.0
5,0.987500011920929,5.0,5.0,0.3437495529651642,0.987500011920929,0.987500011920929,395.0,395.0,0.8888888955116272,20.0,20.0,0.4124259948730469,0.8888888955116272,0.8888888955116272,160.0,160.0
6,0.9900000095367432,4.0,4.0,0.3137531280517578,0.9900000095367432,0.9900000095367432,396.0,396.0,0.8666666746139526,24.0,24.0,0.41288816928863525,0.8666666746139526,0.8666666746139526,156.0,156.0
7,0.9925000071525574,3.0,3.0,0.2846508026123047,0.9925000071525574,0.9925000071525574,397.0,397.0,0.7888888716697693,38.0,38.0,0.481521338224411,0.7888888716697693,0.7888888716697693,142.0,142.0
8,0.9925000071525574,3.0,3.0,0.2627842426300049,0.9925000071525574,0.9925000071525574,397.0,397.0,0.8666666746139526,24.0,24.0,0.38853394985198975,0.8666666746139526,0.8666666746139526,156.0,156.0
9,0.9950000047683716,2.0,2.0,0.24084657430648804,0.9950000047683716,0.9950000047683716,398.0,398.0,0.8500000238418579,27.0,27.0,0.40162941813468933,0.8500000238418579,0.8500000238418579,153.0,153.0
10,0.9975000023841858,1.0,1.0,0.22172287106513977,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8055555820465088,35.0,35.0,0.4443119764328003,0.8055555820465088,0.8055555820465088,145.0,145.0
11,0.9975000023841858,1.0,1.0,0.20639623701572418,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8277778029441833,31.0,31.0,0.42061126232147217,0.8277778029441833,0.8277778029441833,149.0,149.0
12,0.9975000023841858,1.0,1.0,0.19172552227973938,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8111110925674438,34.0,34.0,0.43475863337516785,0.8111110925674438,0.8111110925674438,146.0,146.0
13,0.9975000023841858,1.0,1.0,0.17923150956630707,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8333333134651184,30.0,30.0,0.41197818517684937,0.8333333134651184,0.8333333134651184,150.0,150.0
14,0.9975000023841858,1.0,1.0,0.16832126677036285,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8388888835906982,29.0,29.0,0.40415218472480774,0.8388888835906982,0.8388888835906982,151.0,151.0
15,0.9975000023841858,1.0,1.0,0.1583545058965683,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8388888835906982,29.0,29.0,0.4111223518848419,0.8388888835906982,0.8388888835906982,151.0,151.0
16,0.9975000023841858,1.0,1.0,0.1492256075143814,0.9975000023841858,0.9975000023841858,399.0,399.0,0.855555534362793,26.0,26.0,0.36497142910957336,0.855555534362793,0.855555534362793,154.0,154.0
17,0.9975000023841858,1.0,1.0,0.14117582142353058,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8500000238418579,27.0,27.0,0.37060660123825073,0.8500000238418579,0.8500000238418579,153.0,153.0
18,0.9975000023841858,1.0,1.0,0.13377578556537628,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8388888835906982,29.0,29.0,0.40196576714515686,0.8388888835906982,0.8388888835906982,151.0,151.0
19,0.9975000023841858,1.0,1.0,0.1266585737466812,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8388888835906982,29.0,29.0,0.40792566537857056,0.8388888835906982,0.8388888835906982,151.0,151.0
20,0.9975000023841858,1.0,1.0,0.12032701820135117,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8222222328186035,32.0,32.0,0.43023252487182617,0.8222222328186035,0.8222222328186035,148.0,148.0
21,0.9975000023841858,1.0,1.0,0.11452239006757736,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8388888835906982,29.0,29.0,0.3925352394580841,0.8388888835906982,0.8388888835906982,151.0,151.0
22,0.9975000023841858,1.0,1.0,0.10894381254911423,0.9975000023841858,0.9975000023841858,399.0,399.0,0.8388888835906982,29.0,29.0,0.3976302742958069,0.8388888835906982,0.8388888835906982,151.0,151.0
