epoch,accuracy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.8075000047683716,77.0,77.0,0.608809769153595,0.8075000047683716,0.8075000047683716,323.0,323.0,0.8277778029441833,31.0,31.0,0.5598283410072327,0.8277778029441833,0.8277778029441833,149.0,149.0
1,0.9275000095367432,29.0,29.0,0.4988005459308624,0.9275000095367432,0.9275000095367432,371.0,371.0,0.8277778029441833,31.0,31.0,0.5287148952484131,0.8277778029441833,0.8277778029441833,149.0,149.0
2,0.9549999833106995,18.0,18.0,0.4399653375148773,0.9549999833106995,0.9549999833106995,382.0,382.0,0.855555534362793,26.0,26.0,0.48212292790412903,0.855555534362793,0.855555534362793,154.0,154.0
3,0.9674999713897705,13.0,13.0,0.39310577511787415,0.9674999713897705,0.9674999713897705,387.0,387.0,0.8500000238418579,27.0,27.0,0.47341188788414,0.8500000238418579,0.8500000238418579,153.0,153.0
4,0.9725000262260437,11.0,11.0,0.35594281554222107,0.9725000262260437,0.9725000262260437,389.0,389.0,0.8500000238418579,27.0,27.0,0.45747679471969604,0.8500000238418579,0.8500000238418579,153.0,153.0
5,0.9750000238418579,10.0,10.0,0.32801827788352966,0.9750000238418579,0.9750000238418579,390.0,390.0,0.8444444537162781,28.0,28.0,0.4421016573905945,0.8444444537162781,0.8444444537162781,152.0,152.0
6,0.9825000166893005,7.0,7.0,0.2997153699398041,0.9825000166893005,0.9825000166893005,393.0,393.0,0.8500000238418579,27.0,27.0,0.43151575326919556,0.8500000238418579,0.8500000238418579,153.0,153.0
7,0.9850000143051147,6.0,6.0,0.27711379528045654,0.9850000143051147,0.9850000143051147,394.0,394.0,0.8444444537162781,28.0,28.0,0.4344114065170288,0.8444444537162781,0.8444444537162781,152.0,152.0
8,0.987500011920929,5.0,5.0,0.2564135789871216,0.987500011920929,0.987500011920929,395.0,395.0,0.8444444537162781,28.0,28.0,0.42432352900505066,0.8444444537162781,0.8444444537162781,152.0,152.0
9,0.987500011920929,5.0,5.0,0.23985442519187927,0.987500011920929,0.987500011920929,395.0,395.0,0.8388888835906982,29.0,29.0,0.41953837871551514,0.8388888835906982,0.8388888835906982,151.0,151.0
10,0.987500011920929,5.0,5.0,0.22426803410053253,0.987500011920929,0.987500011920929,395.0,395.0,0.8500000238418579,27.0,27.0,0.41599002480506897,0.8500000238418579,0.8500000238418579,153.0,153.0
11,0.9900000095367432,4.0,4.0,0.21031467616558075,0.9900000095367432,0.9900000095367432,396.0,396.0,0.8333333134651184,30.0,30.0,0.4140458405017853,0.8333333134651184,0.8333333134651184,150.0,150.0
12,0.9900000095367432,4.0,4.0,0.19699355959892273,0.9900000095367432,0.9900000095367432,396.0,396.0,0.8388888835906982,29.0,29.0,0.41609224677085876,0.8388888835906982,0.8388888835906982,151.0,151.0
13,0.9925000071525574,3.0,3.0,0.18497318029403687,0.9925000071525574,0.9925000071525574,397.0,397.0,0.8388888835906982,29.0,29.0,0.41342976689338684,0.8388888835906982,0.8388888835906982,151.0,151.0
14,0.9925000071525574,3.0,3.0,0.17444099485874176,0.9925000071525574,0.9925000071525574,397.0,397.0,0.8500000238418579,27.0,27.0,0.4050513505935669,0.8500000238418579,0.8500000238418579,153.0,153.0
15,0.9925000071525574,3.0,3.0,0.16526691615581512,0.9925000071525574,0.9925000071525574,397.0,397.0,0.8388888835906982,29.0,29.0,0.40294787287712097,0.8388888835906982,0.8388888835906982,151.0,151.0
16,0.9925000071525574,3.0,3.0,0.15715761482715607,0.9925000071525574,0.9925000071525574,397.0,397.0,0.8500000238418579,27.0,27.0,0.4055488705635071,0.8500000238418579,0.8500000238418579,153.0,153.0
