epoch,accuracy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.6549999713897705,138.0,138.0,0.6783509254455566,0.6549999713897705,0.6549999713897705,262.0,262.0,0.9111111164093018,16.0,16.0,0.6511464715003967,0.9111111164093018,0.9111111164093018,164.0,164.0
1,0.8774999976158142,49.0,49.0,0.6192413568496704,0.8774999976158142,0.8774999976158142,351.0,351.0,0.8500000238418579,27.0,27.0,0.5853555202484131,0.8500000238418579,0.8500000238418579,153.0,153.0
2,0.9049999713897705,38.0,38.0,0.5446228981018066,0.9049999713897705,0.9049999713897705,362.0,362.0,0.894444465637207,19.0,19.0,0.5109501481056213,0.894444465637207,0.894444465637207,161.0,161.0
3,0.9275000095367432,29.0,29.0,0.4821290969848633,0.9275000095367432,0.9275000095367432,371.0,371.0,0.9222221970558167,14.0,14.0,0.44781240820884705,0.9222221970558167,0.9222221970558167,166.0,166.0
4,0.9325000047683716,27.0,27.0,0.43287211656570435,0.9325000047683716,0.9325000047683716,373.0,373.0,0.8999999761581421,18.0,18.0,0.4172188937664032,0.8999999761581421,0.8999999761581421,162.0,162.0
5,0.9300000071525574,28.0,28.0,0.3963658809661865,0.9300000071525574,0.9300000071525574,372.0,372.0,0.9111111164093018,16.0,16.0,0.3982735872268677,0.9111111164093018,0.9111111164093018,164.0,164.0
6,0.9350000023841858,26.0,26.0,0.3672223687171936,0.9350000023841858,0.9350000023841858,374.0,374.0,0.9277777671813965,13.0,13.0,0.35265085101127625,0.9277777671813965,0.9277777671813965,167.0,167.0
7,0.9399999976158142,24.0,24.0,0.3497319519519806,0.9399999976158142,0.9399999976158142,376.0,376.0,0.9055555462837219,17.0,17.0,0.34697243571281433,0.9055555462837219,0.9055555462837219,163.0,163.0
8,0.9424999952316284,23.0,23.0,0.32232949137687683,0.9424999952316284,0.9424999952316284,377.0,377.0,0.9222221970558167,14.0,14.0,0.31963473558425903,0.9222221970558167,0.9222221970558167,166.0,166.0
9,0.9449999928474426,22.0,22.0,0.3067382276058197,0.9449999928474426,0.9449999928474426,378.0,378.0,0.9222221970558167,14.0,14.0,0.30419304966926575,0.9222221970558167,0.9222221970558167,166.0,166.0
10,0.9399999976158142,24.0,24.0,0.29099786281585693,0.9399999976158142,0.9399999976158142,376.0,376.0,0.9111111164093018,16.0,16.0,0.2985244691371918,0.9111111164093018,0.9111111164093018,164.0,164.0
11,0.9474999904632568,21.0,21.0,0.27386677265167236,0.9474999904632568,0.9474999904632568,379.0,379.0,0.9222221970558167,14.0,14.0,0.29783812165260315,0.9222221970558167,0.9222221970558167,166.0,166.0
12,0.9524999856948853,19.0,19.0,0.261176198720932,0.9524999856948853,0.9524999856948853,381.0,381.0,0.9222221970558167,14.0,14.0,0.2878634035587311,0.9222221970558167,0.9222221970558167,166.0,166.0
13,0.9574999809265137,17.0,17.0,0.24788698554039001,0.9574999809265137,0.9574999809265137,383.0,383.0,0.9333333373069763,12.0,12.0,0.25801244378089905,0.9333333373069763,0.9333333373069763,168.0,168.0
14,0.9674999713897705,13.0,13.0,0.23761864006519318,0.9674999713897705,0.9674999713897705,387.0,387.0,0.9166666865348816,15.0,15.0,0.29362210631370544,0.9166666865348816,0.9166666865348816,165.0,165.0
15,0.9574999809265137,17.0,17.0,0.22882391512393951,0.9574999809265137,0.9574999809265137,383.0,383.0,0.9166666865348816,15.0,15.0,0.265700101852417,0.9166666865348816,0.9166666865348816,165.0,165.0
16,0.9624999761581421,15.0,15.0,0.21697397530078888,0.9624999761581421,0.9624999761581421,385.0,385.0,0.9166666865348816,15.0,15.0,0.25452736020088196,0.9166666865348816,0.9166666865348816,165.0,165.0
17,0.9624999761581421,15.0,15.0,0.20654018223285675,0.9624999761581421,0.9624999761581421,385.0,385.0,0.9277777671813965,13.0,13.0,0.23279745876789093,0.9277777671813965,0.9277777671813965,167.0,167.0
18,0.9649999737739563,14.0,14.0,0.1964455544948578,0.9649999737739563,0.9649999737739563,386.0,386.0,0.9166666865348816,15.0,15.0,0.24384157359600067,0.9166666865348816,0.9166666865348816,165.0,165.0
19,0.9674999713897705,13.0,13.0,0.1892375349998474,0.9674999713897705,0.9674999713897705,387.0,387.0,0.9222221970558167,14.0,14.0,0.22731119394302368,0.9222221970558167,0.9222221970558167,166.0,166.0
20,0.9674999713897705,13.0,13.0,0.18760108947753906,0.9674999713897705,0.9674999713897705,387.0,387.0,0.9388889074325562,11.0,11.0,0.20914772152900696,0.9388889074325562,0.9388889074325562,169.0,169.0
21,0.9700000286102295,12.0,12.0,0.1806032955646515,0.9700000286102295,0.9700000286102295,388.0,388.0,0.9111111164093018,16.0,16.0,0.251447856426239,0.9111111164093018,0.9111111164093018,164.0,164.0
22,0.9674999713897705,13.0,13.0,0.169804185628891,0.9674999713897705,0.9674999713897705,387.0,387.0,0.9166666865348816,15.0,15.0,0.2562122642993927,0.9166666865348816,0.9166666865348816,165.0,165.0
23,0.9750000238418579,10.0,10.0,0.16058921813964844,0.9750000238418579,0.9750000238418579,390.0,390.0,0.9166666865348816,15.0,15.0,0.22209303081035614,0.9166666865348816,0.9166666865348816,165.0,165.0
24,0.9750000238418579,10.0,10.0,0.15498872101306915,0.9750000238418579,0.9750000238418579,390.0,390.0,0.9222221970558167,14.0,14.0,0.2016156017780304,0.9222221970558167,0.9222221970558167,166.0,166.0
25,0.9725000262260437,11.0,11.0,0.15005044639110565,0.9725000262260437,0.9725000262260437,389.0,389.0,0.9166666865348816,15.0,15.0,0.22274480760097504,0.9166666865348816,0.9166666865348816,165.0,165.0
26,0.9750000238418579,10.0,10.0,0.145362988114357,0.9750000238418579,0.9750000238418579,390.0,390.0,0.9222221970558167,14.0,14.0,0.20310020446777344,0.9222221970558167,0.9222221970558167,166.0,166.0
27,0.9725000262260437,11.0,11.0,0.14474505186080933,0.9725000262260437,0.9725000262260437,389.0,389.0,0.9222221970558167,14.0,14.0,0.20691293478012085,0.9222221970558167,0.9222221970558167,166.0,166.0
28,0.9750000238418579,10.0,10.0,0.13607625663280487,0.9750000238418579,0.9750000238418579,390.0,390.0,0.9111111164093018,16.0,16.0,0.22786808013916016,0.9111111164093018,0.9111111164093018,164.0,164.0
29,0.9750000238418579,10.0,10.0,0.12902435660362244,0.9750000238418579,0.9750000238418579,390.0,390.0,0.9166666865348816,15.0,15.0,0.2120617926120758,0.9166666865348816,0.9166666865348816,165.0,165.0
